condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
76,500.0,50000.0,100.0,1.034,3.517,1.6,500.0,50000.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0
77,500.0,50000.0,250.0,1.0,1.777,1.31,500.0,50000.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0
78,500.0,50000.0,400.0,1.1975,3.2270000000000003,1.74,500.0,50000.0,400.0,1.0,1.0,1.0,1.0,1.0,1.0
79,500.0,50000.0,550.0,1.154,3.28,1.72,500.0,50000.0,550.0,1.0,1.008,1.0,1.0,1.008,1.0
80,500.0,50000.0,750.0,1.0,2.612,1.47,500.0,50000.0,750.0,1.0,1.0675,1.03,1.0,1.0675,1.03
81,500.0,25000.0,100.0,1.0,3.284,1.55,500.0,25000.0,100.0,1.0,1.0,1.02,1.0,1.0,1.02
82,500.0,25000.0,250.0,1.18875,2.52625,1.605,500.0,25000.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0
83,500.0,25000.0,400.0,1.0,2.605,1.45,500.0,25000.0,400.0,1.0,1.0,1.01,1.0,1.0,1.01
84,500.0,25000.0,550.0,1.02,3.343,1.57,500.0,25000.0,550.0,1.0,1.0,1.0,1.0,1.0,1.0
85,500.0,25000.0,750.0,1.0,3.282,1.57,500.0,25000.0,750.0,1.0,1.0,1.0,1.0,1.0,1.0
86,500.0,12000.0,100.0,1.0,1.43,1.18,500.0,12000.0,100.0,1.0,1.3200000000000005,1.14,1.0,1.0,1.0
87,500.0,12000.0,250.0,1.252,3.011,1.765,500.0,12000.0,250.0,1.0405000000000002,1.0,1.02,1.005,1.0,1.02
88,500.0,12000.0,400.0,1.076,2.689,1.54,500.0,12000.0,400.0,1.0,1.0,1.0,1.0,1.0,1.0
89,500.0,12000.0,550.0,1.1280000000000001,2.432,1.52,500.0,12000.0,550.0,1.0,1.0,1.0,1.0,1.0,1.0
90,500.0,12000.0,750.0,1.0,2.8560000000000003,1.51,500.0,12000.0,750.0,1.0,1.85,1.3,1.0,1.85,1.3
91,500.0,5000.0,100.0,1.3,3.162,1.84,500.0,5000.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0
92,500.0,5000.0,250.0,1.641,2.56475,2.0,500.0,5000.0,250.0,1.02625,1.551,1.19,1.02625,1.551,1.19
93,500.0,5000.0,400.0,1.0,2.763,1.5,500.0,5000.0,400.0,1.0,1.144,1.07,1.0,1.0,1.0
94,500.0,5000.0,550.0,1.0,3.27,1.53,500.0,5000.0,550.0,1.0,1.0675,1.05,1.0,1.0675,1.05
95,500.0,5000.0,750.0,1.0150000000000001,3.4645,1.57,500.0,5000.0,750.0,1.0,1.004,1.0,1.0,1.004,1.0
96,500.0,2000.0,100.0,1.375,3.15,1.93,500.0,2000.0,100.0,1.0,1.0,1.12,1.0,1.0,1.12
97,500.0,2000.0,250.0,1.826,2.9520000000000004,2.26,500.0,2000.0,250.0,1.0,2.756,1.57,1.0,2.725,1.46
98,500.0,2000.0,400.0,1.0,1.0525,1.03,500.0,2000.0,400.0,1.0,1.0,1.0,1.0,1.0,1.0
99,500.0,2000.0,550.0,1.0030000000000001,3.2125000000000004,1.525,500.0,2000.0,550.0,1.0,1.0,1.0,1.0,1.0,1.0
100,500.0,2000.0,750.0,1.0,2.911,1.49,500.0,2000.0,750.0,1.0,1.503,1.2,1.0,1.503,1.2
