condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
14.0,500.0,5000,550,1.0,1.147,1.07,20000.0,2000,400,1.792,1.946,1.87,1.0,1.147,1.07
14.0,5000.0,25000,550,1.042,2.219,1.42,500.0,12000,100,4.232,3.642,3.91,1.042,2.219,1.42
14.0,1000.0,2000,250,2.644,2.988,2.81,1000.0,50000,550,1.43,3.0175,1.94,1.43,2.988,1.94
14.0,1000.0,25000,550,1.402,2.971,1.91,20000.0,2000,400,1.158,1.8525,1.43,1.158,1.8525,1.43
14.0,5000.0,12000,100,-1.0,-1.0,-1.0,500.0,12000,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14.0,20000.0,50000,400,2.0425,1.0,1.34,1000.0,50000,550,3.052,3.621,3.31,2.0425,1.0,1.34
14.0,1000.0,2000,400,1.96,3.134,2.41,20000.0,2000,400,1.5925,3.0645,2.1,1.5925,3.0645,2.1
14.0,5000.0,50000,250,2.946,3.42,3.17,500.0,12000,100,4.172,3.6815,3.91,2.946,3.42,3.17
15.0,1000.0,2000,550,1.0,3.51,1.56,500.0,5000,100,1.322,1.072,1.18,1.0,1.072,1.18
15.0,20000.0,5000,550,1.284,2.52,1.7,1000.0,50000,750,2.2,3.64,2.74,1.284,2.52,1.7
15.0,1000.0,2000,400,1.83,3.16,2.32,20000.0,2000,550,1.9855,3.3160000000000003,2.48,1.83,3.16,2.32
15.0,1000.0,5000,750,1.54,3.403,2.12,500.0,5000,100,3.614,3.43,3.52,1.54,3.403,2.12
15.0,20000.0,25000,400,3.534,3.641,3.59,20000.0,2000,550,3.628,3.67,3.65,3.534,3.641,3.59
15.0,20000.0,50000,750,1.263,1.004,1.12,1000.0,50000,750,1.952,1.0,1.32,1.263,1.0,1.12
15.0,20000.0,2000,400,1.07,3.555,1.64,500.0,5000,100,4.034,3.54,3.77,1.07,3.54,1.64
15.0,20000.0,5000,250,3.135,2.972,3.05,1000.0,50000,750,1.274,3.5,1.87,1.274,2.972,1.87
15.0,1000.0,25000,100,2.8125,2.362,2.57,20000.0,2000,550,3.66,1.8040000000000005,2.42,2.8125,1.8040000000000005,2.42
16.0,500.0,2000,400,1.005,2.84,1.48,500.0,2000,100,2.06,3.3345,2.55,1.005,2.84,1.48
16.0,20000.0,25000,250,3.966,3.712,3.83,20000.0,2000,750,4.0225,3.6745,3.84,3.966,3.6745,3.83
16.0,500.0,25000,550,1.118,3.507,1.7,500.0,50000,100,3.0325,3.343,3.18,1.118,3.343,1.7
16.0,1000.0,5000,100,3.4825,3.3175,3.4,500.0,2000,100,3.342,3.563,3.45,3.342,3.3175,3.4
16.0,5000.0,5000,100,3.8725,3.594,3.73,500.0,50000,100,4.3,3.6215,3.93,3.8725,3.594,3.73
16.0,5000.0,5000,100,4.1225,3.646,3.87,20000.0,2000,750,4.224,3.673,3.93,4.1225,3.646,3.87
16.0,500.0,2000,100,1.3050000000000002,1.1845,1.24,500.0,2000,100,1.14,3.32,1.7,1.14,1.1845,1.24
16.0,1000.0,25000,250,2.486,3.533,2.92,500.0,50000,100,3.588,2.52,2.96,2.486,2.52,2.92
16.0,500.0,5000,100,1.9775,2.294,2.12,20000.0,2000,750,1.596,3.409,2.17,1.596,2.294,2.12
17.0,1000.0,50000,550,1.146,2.271,1.52,500.0,50000,250,1.3430000000000002,2.123,1.65,1.146,2.123,1.52
17.0,1000.0,12000,550,1.292,2.007,1.57,5000.0,25000,250,1.382,2.158,1.68,1.292,2.007,1.57
17.0,500.0,50000,750,1.0,3.5005,1.56,500.0,50000,250,1.0,1.0,1.0,1.0,1.0,1.0
17.0,500.0,12000,250,1.5475,3.074,2.06,5000.0,25000,250,1.6575,1.0285,1.27,1.5475,1.0285,1.27
17.0,5000.0,2000,750,1.0,1.813,1.29,500.0,50000,250,3.6625,3.524,3.59,1.0,1.813,1.29
17.0,1000.0,12000,250,1.658,2.954,2.12,5000.0,25000,250,2.345,2.2215,2.28,1.658,2.2215,2.12
18.0,1000.0,5000,550,1.0,2.629,1.45,500.0,50000,400,1.312,2.275,1.66,1.0,2.275,1.45
18.0,20000.0,12000,400,3.385,3.661,3.52,5000.0,25000,400,3.162,3.594,3.36,3.162,3.594,3.36
18.0,20000.0,25000,400,2.1625,1.273,1.6,500.0,50000,400,3.5625,3.6515,3.61,2.1625,1.273,1.6
18.0,5000.0,12000,550,2.948,3.65,3.26,5000.0,25000,400,3.016,3.6315,3.3,2.948,3.6315,3.26
18.0,500.0,25000,100,4.0475,3.5775,3.8,5000.0,25000,400,1.202,2.5365,1.63,1.202,2.5365,1.63
18.0,20000.0,2000,750,1.0,3.708,1.58,500.0,50000,400,3.444,3.661,3.55,1.0,3.661,1.58
19.0,20000.0,12000,100,3.76,3.64,3.7,5000.0,25000,550,4.252,3.6215,3.91,3.76,3.6215,3.7
19.0,5000.0,50000,400,2.374,3.328,2.77,500.0,50000,550,2.492,3.561,2.93,2.374,3.328,2.77
19.0,5000.0,50000,400,1.06,2.0565,1.4,500.0,50000,550,2.572,3.67,3.02,1.06,2.0565,1.4
19.0,20000.0,2000,550,1.982,3.3160000000000003,2.48,5000.0,25000,550,2.41,3.2835,2.78,1.982,3.2835,2.48
19.0,500.0,50000,250,1.045,1.0,1.02,5000.0,25000,550,1.0,2.6895,1.46,1.0,1.0,1.02
19.0,500.0,25000,400,2.142,3.391,2.63,500.0,50000,550,1.762,2.3755,2.02,1.762,2.3755,2.02
20.0,5000.0,5000,400,3.484,3.682,3.58,5000.0,25000,750,3.656,3.6215,3.64,3.484,3.6215,3.58
20.0,5000.0,5000,550,2.73,3.64,3.12,500.0,50000,750,2.7405,3.661,3.13,2.73,3.64,3.12
20.0,500.0,50000,400,1.37,1.0,1.16,500.0,50000,750,1.294,3.272,1.85,1.294,1.0,1.16
20.0,20000.0,25000,750,2.072,3.6345,2.64,5000.0,25000,750,2.38,3.6905,2.89,2.072,3.6345,2.64
20.0,1000.0,25000,250,1.102,1.0,1.05,500.0,50000,750,1.352,3.113,1.89,1.102,1.0,1.05
20.0,1000.0,50000,750,1.44,3.562,2.05,5000.0,25000,750,1.004,1.0195,1.01,1.004,1.0195,1.01
21.0,1000.0,50000,100,-1.0,-1.0,-1.0,5000.0,12000,250,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21.0,5000.0,5000,400,3.376,3.64,3.5,5000.0,12000,250,3.154,3.6175,3.37,3.154,3.6175,3.37
21.0,500.0,2000,250,2.306,1.0,1.4,5000.0,12000,250,1.015,3.1215,1.53,1.015,1.0,1.4
22.0,20000.0,50000,100,4.1825,3.676,3.91,5000.0,12000,400,3.8675,3.6715,3.77,3.8675,3.6715,3.77
22.0,500.0,50000,550,2.1675,3.175,2.58,5000.0,12000,400,2.292,3.3720000000000003,2.73,2.1675,3.175,2.58
22.0,20000.0,5000,750,1.922,3.5515,2.49,5000.0,12000,400,2.32,3.522,2.8,1.922,3.522,2.49
23.0,5000.0,12000,400,3.512,3.721,3.61,5000.0,12000,550,3.192,3.64,3.4,3.192,3.64,3.4
23.0,5000.0,50000,750,1.822,3.621,2.42,5000.0,12000,550,2.312,3.63,2.82,1.822,3.621,2.42
23.0,1000.0,12000,400,1.7875,1.9895,1.88,5000.0,12000,550,1.882,2.721,2.23,1.7875,1.9895,1.88
24.0,20000.0,12000,550,2.922,3.6015,3.23,5000.0,12000,750,3.09,3.69,3.36,2.922,3.6015,3.23
24.0,500.0,5000,400,2.852,3.263,3.04,5000.0,12000,750,1.012,1.0,1.01,1.012,1.0,1.01
24.0,1000.0,5000,100,2.8440000000000003,2.4755,2.65,5000.0,12000,750,2.82,2.168,2.45,2.82,2.168,2.45
25.0,20000.0,12000,750,1.794,3.68,2.41,5000.0,5000,250,2.484,3.669,2.96,1.794,3.669,2.41
25.0,20000.0,25000,100,4.2,3.656,3.91,5000.0,5000,250,4.055,3.61,3.82,4.055,3.61,3.82
25.0,500.0,2000,750,1.956,2.957,2.35,5000.0,5000,250,3.308,3.2960000000000003,3.3,1.956,2.957,2.35
26.0,500.0,5000,400,1.362,1.056,1.19,5000.0,5000,400,1.116,1.138,1.13,1.116,1.056,1.13
26.0,1000.0,5000,100,2.345,2.964,2.62,5000.0,5000,400,2.718,1.0,1.46,2.345,1.0,1.46
26.0,1000.0,12000,750,1.934,3.3920000000000003,2.46,5000.0,5000,400,1.5775,1.6625,1.62,1.5775,1.6625,1.62
27.0,20000.0,50000,100,4.242,3.7115,3.96,5000.0,5000,550,4.262,3.6615,3.94,4.242,3.6615,3.94
27.0,1000.0,50000,250,2.436,1.066,1.48,5000.0,5000,550,2.09,2.6790000000000003,2.35,2.09,1.066,1.48
27.0,1000.0,5000,550,1.65,2.33,1.93,5000.0,5000,550,1.4015,2.8345,1.88,1.4015,2.33,1.88
28.0,1000.0,2000,750,1.978,3.285,2.47,5000.0,5000,750,1.7715,2.213,1.97,1.7715,2.213,1.97
28.0,1000.0,25000,100,2.97,1.7315,2.19,5000.0,5000,750,3.76,3.11,3.4,2.97,1.7315,2.19
28.0,1000.0,50000,250,2.0875,2.541,2.29,5000.0,5000,750,2.892,2.614,2.75,2.0875,2.541,2.29
29.0,1000.0,2000,100,2.6125,2.95,2.77,5000.0,2000,250,2.6425,3.056,2.83,2.6125,2.95,2.77
29.0,20000.0,50000,100,4.1925,3.73,3.95,5000.0,2000,250,4.238,3.6245,3.91,4.1925,3.6245,3.91
29.0,20000.0,12000,550,2.527,3.651,2.99,5000.0,2000,250,3.22,3.65,3.42,2.527,3.65,2.99
