
Inbound Video
Aadya-qualityLimitationDurations,-1,"""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.721","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.723","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.723","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.723000000000001","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.723","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":13.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":14.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":15.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":16.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":17.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":18.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":19.721","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":20.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":21.721","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":22.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":23.721","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":24.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":25.721","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":26.722","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.112","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.112","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.112","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.112","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.112","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.112","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.575","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.576","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.576","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.575","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.576","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.575","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.577","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.576","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.576000000000001","\""other\"":0}""",-1,-1,-1,-1,-1,-1,-1
Ellen-qualityLimitationResolutionChanges,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1
Aadya-qualityLimitationResolutionChanges,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1

Remote Inbound Video
Ellen-roundTripTime,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.42185999999999996,0.41957099999999997,0.419769,0.42130999999999996,0.421722,0.419647,0.419907,0.42964199999999997,0.42202799999999996,0.423203,0.421448,0.426712,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-roundTripTime,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.042648,0.038574,0.037780999999999995,0.039917,0.040709999999999996,0.038376,0.037201,0.040146,0.038742,0.039917,0.041930999999999996,0.038742,0.038925,0.040649,-1,-1,-1,-1,-1,-1,-1
Ellen-fractionLost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-fractionLost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1

